Question,Answer
What are common types of physics?,Some physics are well known and easy to choose.
How does a physics help?,physics is popular for its simplicity.
Why do people use physics?,A basic definition of physics is short and simple.
How do beginners understand physics?,A physics is needed for basic purposes.
What is a basic definition of physics?,A physics works in a simple way.
How do you describe physics?,A physics is used when needed in everyday tasks.
What can you do with a physics?,A physics is needed for basic purposes.
How does a physics work?,There are different types of physics.
Why is a physics needed?,A basic definition of physics is short and simple.
What is a chemistry?,"Yes, a chemistry is useful for many people."
What does chemistry mean?,You can describe chemistry using easy words.
What is the purpose of a chemistry?,Choosing a chemistry depends on your needs.
Why do people like chemistry?,A chemistry is needed for basic purposes.
How is a chemistry used?,chemistry means something simple related to everyday life.
